id;request_id;request_type;project_info;cost_code;environments;config_input;status
1;19336;Sausages;Concrete bypassing Tuna;Concrete Gloves;42391;../fake-data/blob/hipster.txt;CANCELLED
2;91690;communities Crossroad;enterprise Pants backing;Tasty Specialist;90672;../fake-data/blob/hipster.txt;APPROVED
3;47462;bus Steel;Group;Agent Internal;13005;../fake-data/blob/hipster.txt;DRAFT
4;42716;Islands Graphic;transparent SDD Keyboard;bypass;80100;../fake-data/blob/hipster.txt;PENDING
5;37689;Sweden Steel;up AI;Ohio Assurance transmit;67235;../fake-data/blob/hipster.txt;DRAFT
6;80482;capacitor disintermediate;online Marks;Plastic Outdoors invoice;86333;../fake-data/blob/hipster.txt;DRAFT
7;94462;paradigms full-range Frozen;Union red Car;neural;55100;../fake-data/blob/hipster.txt;DRAFT
8;69135;blue architect Belize;experiences utilisation deposit;Ergonomic experiences;96440;../fake-data/blob/hipster.txt;APPROVED
9;39129;out-of-the-box;Strategist Ergonomic Idaho;Lead Soap;42683;../fake-data/blob/hipster.txt;RFI
10;58253;gold Cotton Connecticut;invoice ROI Quality;violet;97514;../fake-data/blob/hipster.txt;APPROVED
