id;request_type_id;request_type_name;request_type_input;approval_process;automation_process
1;Massachusetts;Regional bandwidth;../fake-data/blob/hipster.txt;neural HTTP;Rubber Books
2;Sausages plum;supply-chains;../fake-data/blob/hipster.txt;Personal;Keyboard SMTP Soap
3;Personal;Handcrafted;../fake-data/blob/hipster.txt;executive bus Expanded;Garden program implement
4;Drives Granite;Incredible;../fake-data/blob/hipster.txt;Communications Granite;Colorado
5;Awesome Agent;toolset back-end;../fake-data/blob/hipster.txt;Street Shirt;optical
6;Oklahoma hacking Sports;copying Identity Refined;../fake-data/blob/hipster.txt;Functionality;Cheese Health Circles
7;middleware;bus generate;../fake-data/blob/hipster.txt;Monitored directional;Soft pixel channels
8;withdrawal Washington e-tailers;collaborative Regional;../fake-data/blob/hipster.txt;monitor Architect;XML quantify
9;Bacon Fantastic withdrawal;Gloves;../fake-data/blob/hipster.txt;Soft seize;Kwanza hard
10;Peru leverage Cheese;Optimization;../fake-data/blob/hipster.txt;Montana discrete;markets Cambridgeshire
